rule,word_d,pos_d,words_m,poss_m,word_h,pos_h
rule754([adj + ITFX] + adj -> adj),самоочевидный,adj,сам,pron,очевидный,adj
rule754([adj + ITFX] + adj -> adj),цельнометаллический,adj,цельный,adj,металлический,adj
rule754([adj + ITFX] + adj -> adj),досточтимый,adj,достойный,adj,досточтимый,adj
rule754([adj + ITFX] + adj -> adj),высокорослый,adj,высокий,adj,рослый,adj
rule754([adj + ITFX] + adj -> adj),нагло-томный,adj,наглый,adj,томный,adj
rule754([adj + ITFX] + adj -> adj),бело-розовый,adj,белый,adj,розовый,adj
rule754([adj + ITFX] + adj -> adj),псевдонародный,adj,псевдо-,prefixoid,народный,adj
rule754([adj + ITFX] + adj -> adj),торгово-промышленный,adj,торговый,adj,промышленный,adj
rule754([adj + ITFX] + adj -> adj),слепоглухонемой,adj,слепой;глухой,adj;adj,немой,adj
rule754([adj + ITFX] + adj -> adj),яблочно-холодный,adj,яблочный,adj,холодный,adj
rule754([adj + ITFX] + adj -> adj),ежевечерний,adj,еже-,prefixoid,вечерний,adj
rule754([adj + ITFX] + adj -> adj),мелкокомковатый,adj,мелкий,adj,комковатый,adj
rule754([adj + ITFX] + adj -> adj),квазинаучный,adj,квази-,prefixoid,научный,adj
rule754([adj + ITFX] + adj -> adj),вертикально-сверлильный,adj,вертикальный,adj,сверлильный,adj
rule754([adj + ITFX] + adj -> adj),всенижайший,adj,всё,pron,нижайший,adj
rule754([adj + ITFX] + adj -> adj),краснобогатырский,adj,красный,adj,богатырский,adj
rule754([adj + ITFX] + adj -> adj),мелкокудрявый,adj,мелкий,adj,кудрявый,adj
rule754([adj + ITFX] + adj -> adj),венгерско-советский,adj,венгерский,adj,советский,adj
rule754([adj + ITFX] + adj -> adj),сырокопчёный,adj,сырой,adj,копчёный,adj
rule754([adj + ITFX] + adj -> adj),самоценный,adj,сам,pron,ценный,adj
rule754([adj + ITFX] + adj -> adj),чистошерстяной,adj,чистый,adj,шерстяной,adj
rule754([adj + ITFX] + adj -> adj),разнообразный,adj,разный,adj,-образный,suffixoid
rule754([adj + ITFX] + adj -> adj),органо-минеральный,adj,органический,adj,минеральный,adj
rule754([adj + ITFX] + adj -> adj),великоустюжский,adj,великий,adj,устюжский,adj
rule754([adj + ITFX] + adj -> adj),сербохорватский,adj,сербский,adj,хорватский,adj
rule754([adj + ITFX] + adj -> adj),самоуглубленный,adj,сам,pron,углубленный,adj
rule754([adj + ITFX] + adj -> adj),квазибезвыходный,adj,квази-,prefixoid,безвыходный,adj
rule754([adj + ITFX] + adj -> adj),разносторонний,adj,разный,adj,сторонний,adj
rule754([adj + ITFX] + adj -> adj),малоазиатский,adj,малый,adj,азиатский,adj
rule754([adj + ITFX] + adj -> adj),самоновейший,adj,сам,pron,новейший,adj
rule754([adj + ITFX] + adj -> adj),самоокупаемый,adj,сам,pron,окупаемый,adj
rule754([adj + ITFX] + adj -> adj),самоуверенный,adj,сам,pron,уверенный,adj
rule754([adj + ITFX] + adj -> adj),общеобязательный,adj,общий,adj,обязательный,adj
rule754([adj + ITFX] + adj -> adj),псевдорусский,adj,псевдо-,prefixoid,русский,adj
rule754([adj + ITFX] + adj -> adj),сушильно-очистительный,adj,сушильный,adj,очистительный,adj
rule754([adj + ITFX] + adj -> adj),южнородезийский,adj,южный,adj,родезийский,adj
rule754([adj + ITFX] + adj -> adj),широкопетлистый,adj,широкий,adj,петлистый,adj
rule754([adj + ITFX] + adj -> adj),быстроизменчивый,adj,быстрый,adj,изменчивый,adj
rule754([num + ITFX] + adj -> adj),двууглекислый,adj,два,num,углекислый,adj
rule754([num + ITFX] + adj -> adj),многотиражный,adj,много,num,тиражный,adj
rule754([num + ITFX] + adj -> adj),одноламповый,adj,один,num,ламповый,adj
rule754([num + ITFX] + adj -> adj),многообразный,adj,много,num,-образный,suffixoid
rule754([num + ITFX] + adj -> adj),малооблачный,adj,мало,num,облачный,adj
rule754([num + ITFX] + adj -> adj),пятнадцатиметровый,adj,пятнадцать,num,метровый,adj
rule754([num + ITFX] + adj -> adj),полулегальный,adj,половина,noun,легальный,adj
rule754([num + ITFX] + adj -> adj),малокадровый,adj,мало,num,кадровый,adj
rule754([num + ITFX] + adj -> adj),многосложный,adj,много,num,сложный,adj
rule754([num + ITFX] + adj -> adj),многоступенчатый,adj,много,num,ступенчатый,adj
rule754([num + ITFX] + adj -> adj),многозначительный,adj,много,num,значительный,adj
rule754([num + ITFX] + adj -> adj),трёхбромистый,adj,три,num,бромистый,adj
rule754([num + ITFX] + adj -> adj),стотысячесабельный,adj,сто тысяч,num,сабельный,adj
rule754([num + ITFX] + adj -> adj),многочисленный,adj,много,num,численный,adj
rule754([num + ITFX] + adj -> adj),трёхстворчатый,adj,три,num,створчатый,adj
rule754([num + ITFX] + adj -> adj),одновалентный,adj,один,num,-валентный,suffixoid
rule754([num + ITFX] + adj -> adj),трёхвалентный,adj,три,num,-валентный,suffixoid
rule754([num + ITFX] + adj -> adj),полушерстяной,adj,половина,noun,шерстяной,adj
rule754([num + ITFX] + adj -> adj),полуторасменный,adj,полтора,num,сменный,adj
rule754([num + ITFX] + adj -> adj),многоопытный,adj,много,num,опытный,adj
rule754([noun + ITFX] + part -> adj),самоопрокидывающийся,adj,сам,pron,опрокидывающийся,part
rule754([noun + ITFX] + part -> adj),самодвижущийся,adj,сам,pron,движущийся,part
rule754([noun + ITFX] + part -> adj),электродвижущийся,adj,электро,glroot,движущийся,part
rule754([noun + ITFX] + part -> adj),водонасыщенный,adj,вода,noun,насыщенный,part
rule754([noun + ITFX] + part -> adj),угледобывающий,adj,уголь,noun,добывающий,part
rule754([noun + ITFX] + part -> adj),почвообрабатывающий,adj,почва,noun,обрабатывающий,part
rule754([noun + ITFX] + part -> adj),полувьющийся,adj,половина,noun,вьющийся,part
rule754([noun + ITFX] + part -> adj),душераздирающий,adj,душа,noun,раздирающий,part
rule754([noun + ITFX] + part -> adj),серосодержащий,adj,сера,noun,содержащий,part
rule754([noun + ITFX] + part -> adj),металлорежущий,adj,металл,noun,режущий,part
rule754([adj + ITFX] + part -> adj),счётно-решающий,adj,счётный,adj,решающий,part
rule754([adj + ITFX] + part -> adj),новонайденный,adj,новый,adj,найденный,part
rule754([adj + ITFX] + part -> adj),общепринятый,adj,общий,adj,принятый,part
rule754([adj + ITFX] + part -> adj),новоприбывший,adj,новый,adj,прибывший,part
rule754([adj + ITFX] + part -> adj),мертворожденный,adj,мёртвый,adj,рождённый,part
rule754([adj + ITFX] + part -> adj),свежевыбритый,adj,свежий,adj,выбритый,part
rule558([noun + ITFX] + verb + тель -> noun),снегоочиститель,noun,снег,noun,очистить,verb
rule558([noun + ITFX] + verb + тель -> noun),звукосниматель,noun,звук,noun,снимать,verb
rule558([noun + ITFX] + verb + тель -> noun),горовосходитель,noun,гора,noun,восходить,verb
rule558([noun + ITFX] + verb + тель -> noun),номеронабиратель,noun,номер,noun,набирать,verb
rule558([noun + ITFX] + verb + тель -> noun),работодатель,noun,работа,noun,дать,verb
rule558([noun + ITFX] + verb + тель -> noun),грузополучатель,noun,груз,noun,получать,verb
rule558([noun + ITFX] + verb + тель -> noun),нервотрепатель,noun,нерв,noun,трепать,verb
rule558([noun + ITFX] + verb + тель -> noun),машиностроитель,noun,машина,noun,строить,verb
rule558([noun + ITFX] + verb + тель -> noun),навозоразбрасыватель,noun,навоз,noun,разбрасывать,verb
rule558([adj + ITFX] + verb + тель -> noun),громкоговоритель,noun,громкий,adj,говорить,verb
rule558([adj + ITFX] + verb + тель -> noun),самоподаватель,noun,сам,pron,подавать,verb
rule558([adj + ITFX] + verb + тель -> noun),глубокорыхлитель,noun,глубокий,adj,рыхлить,verb
rule559([noun + ITFX] + verb + ец/нец/енец/омец -> noun),орденоносец,noun,орден,noun,нести,verb
rule559([noun + ITFX] + verb + ец/нец/енец/омец -> noun),песнопевец,noun,песня,noun,петь,verb
rule559([noun + ITFX] + verb + ец/нец/енец/омец -> noun),языкотворец,noun,язык,noun,творить,verb
rule559([noun + ITFX] + verb + ец/нец/енец/омец -> noun),лыжебежец,noun,лыжи,noun,бежать,verb
rule559([noun + ITFX] + verb + ец/нец/енец/омец -> noun),жизнелюбец,noun,жизнь,noun,любить,verb
rule559([noun + ITFX] + verb + ец/нец/енец/омец -> noun),рудознатец,noun,руда,noun,знать,verb
rule559([noun + ITFX] + verb + ец/нец/енец/омец -> noun),землепроходец,noun,земля,noun,проходить,verb
rule559([noun + ITFX] + verb + ец/нец/енец/омец -> noun),письмоносец,noun,письмо,noun,нести,verb
rule559([noun + ITFX] + verb + ец/нец/енец/омец -> noun),молотобоец,noun,молот,noun,бить,verb
rule559([noun + ITFX] + verb + ец/нец/енец/омец -> noun),славолюбец,noun,слава,noun,любить,verb
rule559([noun + ITFX] + verb + ец/нец/енец/омец -> noun),земледелец,noun,земля,noun,делать,verb
rule559([noun + ITFX] + verb + ец/нец/енец/омец -> noun),молотобоец,noun,молот,noun,бить,verb
rule559([noun + ITFX] + verb + ец/нец/енец/омец -> noun),честолюбец,noun,честь,noun,любить,verb
rule559([noun + ITFX] + verb + ец/нец/енец/омец -> noun),конькобежец,noun,коньки,noun,бежать,verb
rule559([noun + ITFX] + verb + ец/нец/енец/омец -> noun),полководец,noun,полк,noun,вести,verb
rule559([noun + ITFX] + verb + ец/нец/енец/омец -> noun),правдоборец,noun,правда,noun,бороться,verb
rule559([noun + ITFX] + verb + ец/нец/енец/омец -> noun),броненосец,noun,броня,noun,нести,verb
rule559([noun + ITFX] + verb + ец/нец/енец/омец -> noun),канатоходец,noun,канат,noun,ходить,verb
rule559([adj + ITFX] + verb + ец/нец/енец/омец -> noun),первопроходец,noun,первый,adj,проходить,verb
rule559([adj + ITFX] + verb + ец/нец/енец/омец -> noun),новобранец,noun,новый,adj,брать,verb
rule559([adj + ITFX] + verb + ец/нец/енец/омец -> noun),себялюбец,noun,себя,pron,любить,verb
rule559([num + ITFX] + verb + ец/нец/енец/омец -> noun),пятиборец,noun,пять,num,бороться,verb
rule560([noun + ITFX] + verb + щик -> noun),газопайщик,noun,газ,noun,паять,verb
rule560([noun + ITFX] + verb + щик -> noun),свеклопогрузчик,noun,свёкла,noun,погрузить,verb
rule560([noun + ITFX] + verb + щик -> noun),словолитчик,noun,слово,noun,лить,verb
rule560([noun + ITFX] + verb + щик -> noun),газосварщик,noun,газ,noun,сварить,verb
rule560([noun + ITFX] + verb + щик -> noun),путеобходчик,noun,путь,noun,обходить,verb
rule560([noun + ITFX] + verb + щик -> noun),звездолётчик,noun,звезда,noun,лететь,verb
rule560([noun + ITFX] + verb + щик -> noun),маслобойщик,noun,масло,noun,бить,verb
rule561([noun + ITFX] + verb + льщик -> noun),льнотеребильщик,noun,лён,noun,теребить,verb
rule561([noun + ITFX] + verb + льщик -> noun),самопрядильщик,noun,сам,pron,прясть,verb
rule561([noun + ITFX] + verb + льщик -> noun),зерносушильщик,noun,зерно,noun,сушить,verb
rule561([noun + ITFX] + verb + льщик -> noun),камнедробильщик,noun,камень,noun,дробить,verb
rule562([noun + ITFX] + verb + ник/еник/енник/ик -> noun),токосъемник,noun,ток,noun,снять,verb
rule562([noun + ITFX] + verb + ник/еник/енник/ик -> noun),мусоросборник,noun,мусор,noun,сбирать,verb
rule562([noun + ITFX] + verb + ник/еник/енник/ик -> noun),клятвопреступник,noun,клятва,noun,преступать,verb
rule562([noun + ITFX] + verb + ник/еник/енник/ик -> noun),паросборник,noun,пар,noun,сбирать,verb
rule562([noun + ITFX] + verb + ник/еник/енник/ик -> noun),монеторазменник,noun,монета,noun,разменять,verb
rule562([noun + ITFX] + verb + ник/еник/енник/ик -> noun),мочеточник,noun,моча,noun,точить,verb
rule562([noun + ITFX] + verb + ник/еник/енник/ик -> noun),идолопоклонник,noun,идол,noun,поклоняться,verb
rule562([noun + ITFX] + verb + ник/еник/енник/ик -> noun),токоприемник,noun,ток,noun,принять,verb
rule562([noun + ITFX] + verb + ник/еник/енник/ик -> noun),судоподъемник,noun,судно,noun,поднять,verb
rule563([noun + ITFX] + verb + к(а)/овк(а)/ёжк(а) -> noun),клеверотёрка,noun,клевер,noun,тереть,verb
rule563([noun + ITFX] + verb + к(а)/овк(а)/ёжк(а) -> noun),кожемяка,noun,кожа,noun,мять,verb
rule563([noun + ITFX] + verb + к(а)/овк(а)/ёжк(а) -> noun),кофеварка,noun,кофе,noun,варить,verb
rule563([noun + ITFX] + verb + к(а)/овк(а)/ёжк(а) -> noun),посудомойка,noun,посуда,noun,мыть,verb
rule563([noun + ITFX] + verb + к(а)/овк(а)/ёжк(а) -> noun),бумагомарака,noun,бумага,noun,марать,verb
rule563([noun + ITFX] + verb + к(а)/овк(а)/ёжк(а) -> noun),мышеловка,noun,мышь,noun,ловить,verb
rule563([noun + ITFX] + verb + к(а)/овк(а)/ёжк(а) -> noun),краскотёрка,noun,краска,noun,тереть,verb
rule563([noun + ITFX] + verb + к(а)/овк(а)/ёжк(а) -> noun),поломойка,noun,пол,noun,мыть,verb
rule563([noun + ITFX] + verb + к(а)/овк(а)/ёжк(а) -> noun),молоковарка,noun,молоко,noun,варить,verb
rule563([noun + ITFX] + verb + к(а)/овк(а)/ёжк(а) -> noun),телогрейка,noun,тело,noun,греть,verb
rule563([noun + ITFX] + verb + к(а)/овк(а)/ёжк(а) -> noun),газоочистка,noun,газ,noun,очистить,verb
rule563([noun + ITFX] + verb + к(а)/овк(а)/ёжк(а) -> noun),сластоежка,noun,сласть,noun,есть,verb
rule563([noun + ITFX] + verb + к(а)/овк(а)/ёжк(а) -> noun),картофелепечка,noun,картофель,noun,печь,verb
rule563([noun + ITFX] + verb + к(а)/овк(а)/ёжк(а) -> noun),зубочистка,noun,зуб,noun,чистить,verb
rule563([adj + ITFX] + verb + к(а)/овк(а)/ёжк(а) -> noun),самоучка,noun,сам,pron,учить,verb
rule563([adj + ITFX] + verb + к(а)/овк(а)/ёжк(а) -> noun),самоскидка,noun,сам,pron,скидывать,verb
rule563([adj + ITFX] + verb + к(а)/овк(а)/ёжк(а) -> noun),самосейка,noun,сам,pron,сеять,verb
rule563([adj + ITFX] + verb + к(а)/овк(а)/ёжк(а) -> noun),скороговорка,noun,скорый,adj,говорить,verb
rule563([adj + ITFX] + verb + к(а)/овк(а)/ёжк(а) -> noun),сладкоежка,noun,сладкий,adj,есть,verb
rule563([adj + ITFX] + verb + к(а)/овк(а)/ёжк(а) -> noun),всезнайка,noun,всё,pron,знать,verb
rule563([adj + ITFX] + verb + к(а)/овк(а)/ёжк(а) -> noun),золотошвейка,noun,золотой,adj,шить,verb
rule563([num + ITFX] + verb + к(а)/овк(а)/ёжк(а) -> noun),многознайка,noun,много,num,знать,verb
rule564([noun + ITFX] + verb + лк(а) -> noun),снеготаялка,noun,снег,noun,таять,verb
rule564([noun + ITFX] + verb + лк(а) -> noun),камнедробилка,noun,камень,noun,дробить,verb
rule564([noun + ITFX] + verb + лк(а) -> noun),газонокосилка,noun,газон,noun,косить,verb
rule564([noun + ITFX] + verb + лк(а) -> noun),соковыжималка,noun,сок,noun,выжимать,verb
rule564([noun + ITFX] + verb + лк(а) -> noun),сноповязалка,noun,сноп,noun,вязать,verb
rule564([noun + ITFX] + verb + лк(а) -> noun),мясоотбивалка,noun,мясо,noun,отбивать,verb
rule564([noun + ITFX] + verb + лк(а) -> noun),картофелесажалка,noun,картофель,noun,сажать,verb
rule564([noun + ITFX] + verb + лк(а) -> noun),плодоовощесушилка,noun,плод;овощ,noun;noun,сушить,verb
rule565([noun + ITFX] + verb + н(я)/отн(я)/овн(я) -> noun),мукомольня,noun,мука,noun,молоть,verb
rule565([noun + ITFX] + verb + н(я)/отн(я)/овн(я) -> noun),лесопильня,noun,лес,noun,пилить,verb
rule565([noun + ITFX] + verb + н(я)/отн(я)/овн(я) -> noun),водогрейня,noun,вода,noun,греть,verb
rule565([noun + ITFX] + verb + н(я)/отн(я)/овн(я) -> noun),шерстомойня,noun,шерсть,noun,мыть,verb
rule565([noun + ITFX] + verb + н(я)/отн(я)/овн(я) -> noun),пивоварня,noun,пиво,noun,варить,verb
rule565([noun + ITFX] + verb + н(я)/отн(я)/овн(я) -> noun),словолитня,noun,слово,noun,лить,verb
rule565([noun + ITFX] + verb + н(я)/отн(я)/овн(я) -> noun),каменоломня,noun,камень,noun,ломать,verb
rule565([noun + ITFX] + verb + н(я)/отн(я)/овн(я) -> noun),судомойня,noun,судно,noun,мыть,verb
rule565([adj + ITFX] + verb + н(я)/отн(я)/овн(я) -> noun),живодёрня,noun,живой,adj,драть,verb
rule566([noun + ITFX] + verb + ств(о) -> noun),зубоскальство,noun,зуб,noun,скалить,verb
rule566([noun + ITFX] + verb + ств(о) -> noun),судоходство,noun,судно,noun,ходить,verb
rule566([noun + ITFX] + verb + ств(о) -> noun),кролиководство,noun,кролик,noun,водить,verb
rule566([noun + ITFX] + verb + ств(о) -> noun),бракодельство,noun,брак,noun,делать,verb
rule566([noun + ITFX] + verb + ств(о) -> noun),рукоприкладство,noun,рука,noun,прикладывать,verb
rule566([noun + ITFX] + verb + ств(о) -> noun),детопитательство,noun,дети,noun,питать,verb
rule566([noun + ITFX] + verb + ств(о) -> noun),казнокрадство,noun,казна,noun,красть,verb
rule566([noun + ITFX] + verb + ств(о) -> noun),растениеводство,noun,растение,noun,водить,verb
rule566([adj + ITFX] + verb + ств(о) -> noun),единоборство,noun,единый,adj,бороться,verb
rule566([adj + ITFX] + verb + ств(о) -> noun),самохвальство,noun,сам,pron,хвалить,verb
rule566([adj + ITFX] + verb + ств(о) -> noun),вольнодумство,noun,вольный,adj,думать,verb
rule567([noun + ITFX] + verb + ниj(е) -> noun),двигателестроение,noun,двигатель,noun,строить,verb
rule567([noun + ITFX] + verb + ниj(е) -> noun),ковроделие,noun,ковёр,noun,делать,verb
rule567([noun + ITFX] + verb + ниj(е) -> noun),приборостроение,noun,прибор,noun,строить,verb
rule567([noun + ITFX] + verb + ниj(е) -> noun),космовидение,noun,космос,noun,видеть,verb
rule567([noun + ITFX] + verb + ниj(е) -> noun),головокружение,noun,голова,noun,кружить,verb
rule567([noun + ITFX] + verb + ниj(е) -> noun),рукопожатие,noun,рука,noun,пожать,verb
rule567([noun + ITFX] + verb + ниj(е) -> noun),рукоделие,noun,рука,noun,делать,verb
rule567([noun + ITFX] + verb + ниj(е) -> noun),космоплавание,noun,космос,noun,плавать,verb
rule567([noun + ITFX] + verb + ниj(е) -> noun),самолюбие,noun,сам,pron,любить,verb
rule567([noun + ITFX] + verb + ниj(е) -> noun),богомолье,noun,бог,noun,молить,verb
rule567([noun + ITFX] + verb + ниj(е) -> noun),кораблестроение,noun,корабль,noun,строить,verb
rule567([noun + ITFX] + verb + ниj(е) -> noun),виноделие,noun,вино,noun,делать,verb
rule567([noun + ITFX] + verb + ниj(е) -> noun),здравоохранение,noun,здравие,noun,охранять,verb
rule567([noun + ITFX] + verb + ниj(е) -> noun),всепрощение,noun,всё,pron,прощать,verb
rule567([noun + ITFX] + verb + ниj(е) -> noun),себялюбие,noun,себя,pron,любить,verb
rule567([noun + ITFX] + verb + ниj(е) -> noun),многоборье,noun,много,num,бороться,verb
rule567([noun + ITFX] + verb + ниj(е) -> noun),курсоуказание,noun,курс,noun,указать,verb
rule567([noun + ITFX] + verb + ниj(е) -> noun),турбостроение,noun,турбо,glroot,строить,verb
rule567([noun + ITFX] + verb + ниj(е) -> noun),стереовидение,noun,стерео,glroot,видеть,verb
rule567([noun + ITFX] + verb + ниj(е) -> noun),человеколюбие,noun,человек,noun,любить,verb
rule567([noun + ITFX] + verb + ниj(е) -> noun),долгожитие,noun,долгий,adj,жить,verb
rule567([noun + ITFX] + verb + ниj(е) -> noun),солнцестояние,noun,солнце,noun,стоять,verb
rule567([noun + ITFX] + verb + ниj(е) -> noun),пятиборье,noun,пять,num,бороться,verb
rule567([noun + ITFX] + verb + ниj(е) -> noun),мореплавание,noun,море,noun,плавать,verb
rule567([noun + ITFX] + verb + ниj(е) -> noun),травосеяние,noun,трава,noun,сеять,verb
rule567([noun + ITFX] + verb + ниj(е) -> noun),градобитие,noun,град,noun,бить,verb
rule567([noun + ITFX] + verb + ниj(е) -> noun),пылеулавливание,noun,пыль,noun,улавливать,verb
rule567([noun + ITFX] + verb + ниj(е) -> noun),правдолюбие,noun,правда,noun,любить,verb
rule567([adj + ITFX] + verb + ниj(е) -> noun),ясновидение,noun,ясный,adj,видеть,verb
rule567([adj + ITFX] + verb + ниj(е) -> noun),иносказание,noun,иной,adj,сказать,verb
rule567([adj + ITFX] + verb + ниj(е) -> noun),чистописание,noun,чистый,adj,писать,verb
rule568([noun + ITFX] + verb + ин(а) -> noun),зуботычина,noun,зуб,noun,тыкать,verb
rule568([noun + ITFX] + verb + ин(а) -> noun),морозобоина,noun,мороз,noun,бить,verb
rule568([noun + ITFX] + verb + ин(а) -> noun),червоточина,noun,червь,noun,точить,verb
rule568([noun + ITFX] + verb + ин(а) -> noun),червобоина,noun,червь,noun,бить,verb
rule569([noun + ITFX] + verb + йц(а) -> noun),водопийца,noun,вода,noun,пить,verb
rule569([noun + ITFX] + verb + ль/оль -> noun),водоросль,noun,вода,noun,расти,verb
-ий,виночерпий,noun,вино,noun,черпать,verb
rule570([adj + ITFX] + noun + ник/атник/арник/овник -> noun),старшеклассник,noun,старший,adj,класс,noun
rule570([adj + ITFX] + noun + ник/атник/арник/овник -> noun),чернорубашечник,noun,чёрный,adj,рубашка,noun
rule570([adj + ITFX] + noun + ник/атник/арник/овник -> noun),первоэтажник,noun,первый,adj,этаж,noun
rule570([adj + ITFX] + noun + ник/атник/арник/овник -> noun),перворазрядник,noun,первый,adj,разряд,noun
rule570([adj + ITFX] + noun + ник/атник/арник/овник -> noun),воднолыжник,noun,водный,adj,лыжи,noun
rule570([adj + ITFX] + noun + ник/атник/арник/овник -> noun),белобрючник,noun,белый,adj,брюки,noun
rule570([num + ITFX] + noun + ник/атник/арник/овник -> noun),семигранник,noun,семь,num,грань,noun
rule570([num + ITFX] + noun + ник/атник/арник/овник -> noun),многостаночник,noun,много,num,станок,noun
rule570([num + ITFX] + noun + ник/атник/арник/овник -> noun),столетник,noun,сто,num,год,noun
rule570([num + ITFX] + noun + ник/атник/арник/овник -> noun),сорокатысячник,noun,сорок,num,тысяча,noun
rule570([noun + ITFX] + noun + ник/атник/арник/овник -> noun),ремнецветник,noun,ремень,noun,цвет,noun
rule570([noun + ITFX] + noun + ник/атник/арник/овник -> noun),вышкомонтажник,noun,вышка,noun,монтаж,noun
rule570([noun + ITFX] + noun + ник/атник/арник/овник -> noun),человеконенавистник,noun,человек,noun,ненависть,noun
rule331(noun + щик/чик/овщик -> noun),инопланетчик,noun,иной,adj,планета,noun
rule331(noun + щик/чик/овщик -> noun),сахарозаводчик,noun,сахар,noun,завод,noun
rule331(noun + щик/чик/овщик -> noun),старорежимщик,noun,старый,adj,режим,noun
rule331(noun + щик/чик/овщик -> noun),горнозаводчик,noun,горный,adj,завод,noun
rule410(noun + к(а) -> noun),шилоклювка,noun,шило,noun,клюв,noun
rule410(noun + к(а) -> noun),одноглазка,noun,один,num,глаз,noun
rule410(noun + к(а) -> noun),хромоножка,noun,хромой,adj,нога,noun
rule410(noun + к(а) -> noun),сороконожка,noun,сорок,num,нога,noun
rule410(noun + к(а) -> noun),пучеглазка,noun,пучить,verb,глаз,noun
rule410(noun + к(а) -> noun),горихвостка,noun,гореть,verb,хвост,noun
rule410(noun + к(а) -> noun),краснопёрка,noun,красный,adj,перо,noun
rule410(noun + к(а) -> noun),павлиноглазка,noun,павлин,noun,глаз,noun
rule410(noun + к(а) -> noun),босоножка,noun,босой,adj,нога,noun
rule410(noun + к(а) -> noun),белоручка,noun,белый,adj,рука,noun
rule410(noun + к(а) -> noun),долгоножка,noun,долгий,adj,нога,noun
rule410(noun + к(а) -> noun),черногрудка,noun,чёрный,adj,грудь,noun
rule410(noun + к(а) -> noun),трясогузка,noun,трясти,verb,гуз,noun
rule410(noun + к(а) -> noun),полукровка,noun,половина,noun,кровь,noun
rule410(noun + к(а) -> noun),вертихвостка,noun,вертеть,verb,хвост,noun
rule410(noun + к(а) -> noun),синехвостка,noun,синий,adj,хвост,noun
rule410(noun + к(а) -> noun),толстобрюшка,noun,толстый,adj,брюхо,noun
rule504*(noun + j(е) -> noun),бурноводье,noun,бурный,adj,вода,noun
rule504*(noun + j(е) -> noun),пустословие,noun,пустой,adj,слово,noun
rule504*(noun + j(е) -> noun),Дивногорье,noun,дивный,adj,гора,noun
rule504*(noun + j(е) -> noun),Верхневолжье,noun,верхний,adj,Волга,prop
rule504*(noun + j(е) -> noun),народовластие,noun,народ,noun,власть,noun
rule504*(noun + j(е) -> noun),равновесие,noun,равный,adj,вес,noun
rule504*(noun + j(е) -> noun),злакотравье,noun,злак,noun,трава,noun
rule504*(noun + j(е) -> noun),полнолуние,noun,полный,adj,луна,noun
rule504*(noun + j(е) -> noun),двоевластие,noun,двое,num,власть,noun
rule504*(noun + j(е) -> noun),Криворожье,noun,Кривой,prop,Рог,prop
rule504*(noun + j(е) -> noun),полугодие,noun,половина,noun,год,noun
rule504*(noun + j(е) -> noun),двуязычие,noun,два,num,язык,noun
rule504*(noun + j(е) -> noun),Семиречье,noun,семь,num,река,noun
rule504*(noun + j(е) -> noun),простонародье,noun,простой,adj,народ,noun
rule504*(noun + j(е) -> noun),перволетье,noun,первый,adj,лето,noun
rule504*(noun + j(е) -> noun),маловодье,noun,мало,num,вода,noun
rule504*(noun + j(е) -> noun),полукафтанье,noun,половина,noun,кафтан,noun
rule504*(noun + j(е) -> noun),многоточие,noun,много,num,точка,noun
rule504*(noun + j(е) -> noun),разноречие,noun,разный,adj,речь,noun
rule504*(noun + j(е) -> noun),ревоголосье,noun,рёв,noun,голос,noun
rule504*(noun + j(е) -> noun),полудурье,noun,половина,noun,дурь,noun
rule504*(noun + j(е) -> noun),пятилетие,noun,пять,num,год,noun
rule504*(noun + j(е) -> noun),самовластие,noun,сам,pron,власть,noun
rule504*(noun + j(е) -> noun),четверостишие,noun,четверо,num,стих,noun
rule504*(noun + j(е) -> noun),Москворечье,noun,Москва,prop,река,noun
rule504*(noun + j(е) -> noun),мелкотемье,noun,мелкий,adj,тема,noun
rule398(noun + ок/ик -> noun),полушубок,noun,половина,noun,шуба,noun
rule398(noun + ок/ик -> noun),пятистенок,noun,пять,num,стена,noun
rule398(noun + ок/ик -> noun),полушалок,noun,половина,noun,шаль,noun
rule398(noun + ок/ик -> noun),маломерок,noun,мало,num,мера,noun
rule398(noun + ок/ик -> noun),однолеток,noun,один,num,год,noun
rule398(noun + ок/ик -> noun),трёхлеток,noun,три,num,год,noun
rule398(noun + ок/ик -> noun),одногодок,noun,один,num,год,noun
rule398(noun + ок/ик -> noun),одномерок,noun,один,num,мера,noun
rule398(noun + ок/ик -> noun),полугодок,noun,половина,noun,год,noun
rule398(noun + ок/ик -> noun),малолеток,noun,мало,num,год,noun
rule332(noun + ец/инец -> noun),сквернословец,noun,скверный,adj,слово,noun
rule332(noun + ец/инец -> noun),краснодеревец,noun,красный,adj,дерево,noun
rule332(noun + ец/инец -> noun),царедворец,noun,царь,noun,двор,noun
rule332(noun + ец/инец -> noun),однофамилец,noun,один,num,фамилия,noun
rule332(noun + ец/инец -> noun),иноверец,noun,иной,adj,вера,noun
rule332(noun + ец/инец -> noun),многожёнец,noun,много,num,жена,noun
rule337(noun + ан-ин/чан-ин -> noun),вышневолочанин,noun,Вышний,prop,Волочек,prop
rule337(noun + ан-ин/чан-ин -> noun),великолучанин,noun,Великие,prop,Луки,prop
rule337(noun + ан-ин/чан-ин -> noun),односельчанин,noun,один,num,село,noun
-ц(ы),плоскозубцы,noun,плоский,adj,зуб,noun
